house_id,area_id,full_address,city,address,street_prefix,street_name,building,area_name,house_year
8104093,2281050,г Москва б-р Покровский д.14/5,Москва,б-р Покровский д.14/5,б-р,Покровский ,д.14/5,муниципальный округ Басманный,1927
8104094,2281050,г Москва б-р Покровский д.14/6 строение 1,Москва,б-р Покровский д.14/6 строение 1,б-р,Покровский ,д.14/6 строение 1,муниципальный округ Басманный,1915
8104099,2281050,г Москва б-р Покровский д.16/10 строение 1,Москва,б-р Покровский д.16/10 строение 1,б-р,Покровский ,д.16/10 строение 1,муниципальный округ Басманный,1860
8104106,2281050,г Москва б-р Покровский д.16_18 строение 4_4А,Москва,б-р Покровский д.16_18 строение 4_4А,б-р,Покровский ,д.16_18 строение 4_4А,муниципальный округ Басманный,1860
8104113,2281050,г Москва б-р Покровский д.18/15 строение 2,Москва,б-р Покровский д.18/15 строение 2,б-р,Покровский ,д.18/15 строение 2,муниципальный округ Басманный,1860
7690637,2281050,г Москва б-р Покровский д.4/17 строение 10,Москва,б-р Покровский д.4/17 строение 10,б-р,Покровский ,д.4/17 строение 10,муниципальный округ Басманный,2001
8104117,2281050,г Москва б-р Покровский д.4/17 строение 6,Москва,б-р Покровский д.4/17 строение 6,б-р,Покровский ,д.4/17 строение 6,муниципальный округ Басманный,1955
8104122,2281050,г Москва б-р Покровский д.4/17 строение 7,Москва,б-р Покровский д.4/17 строение 7,б-р,Покровский ,д.4/17 строение 7,муниципальный округ Басманный,1893
8104128,2281050,г Москва б-р Покровский д.8 строение 2,Москва,б-р Покровский д.8 строение 2,б-р,Покровский ,д.8 строение 2,муниципальный округ Басманный,1900
8103944,2281050,г Москва б-р Чистопрудный д.11 строение 1,Москва,б-р Чистопрудный д.11 строение 1,б-р,Чистопрудный ,д.11 строение 1,муниципальный округ Басманный,1917
8103950,2281050,г Москва б-р Чистопрудный д.11 строение 2,Москва,б-р Чистопрудный д.11 строение 2,б-р,Чистопрудный ,д.11 строение 2,муниципальный округ Басманный,1870
8103955,2281050,г Москва б-р Чистопрудный д.11 строение 4,Москва,б-р Чистопрудный д.11 строение 4,б-р,Чистопрудный ,д.11 строение 4,муниципальный округ Басманный,1917
8090125,2281050,г Москва б-р Чистопрудный д.12 кор.2,Москва,б-р Чистопрудный д.12 кор.2,б-р,Чистопрудный ,д.12 кор.2,муниципальный округ Басманный,1931
8103960,2281050,г Москва б-р Чистопрудный д.12 кор.3,Москва,б-р Чистопрудный д.12 кор.3,б-р,Чистопрудный ,д.12 кор.3,муниципальный округ Басманный,1937
8090128,2281050,г Москва б-р Чистопрудный д.12 кор.5,Москва,б-р Чистопрудный д.12 кор.5,б-р,Чистопрудный ,д.12 кор.5,муниципальный округ Басманный,1930
8103972,2281050,г Москва б-р Чистопрудный д.12 кор.6,Москва,б-р Чистопрудный д.12 кор.6,б-р,Чистопрудный ,д.12 кор.6,муниципальный округ Басманный,1926
8103975,2281050,г Москва б-р Чистопрудный д.13 строение 1,Москва,б-р Чистопрудный д.13 строение 1,б-р,Чистопрудный ,д.13 строение 1,муниципальный округ Басманный,1900
8103978,2281050,г Москва б-р Чистопрудный д.13 строение 2,Москва,б-р Чистопрудный д.13 строение 2,б-р,Чистопрудный ,д.13 строение 2,муниципальный округ Басманный,1917
8103982,2281050,г Москва б-р Чистопрудный д.13 строение 3,Москва,б-р Чистопрудный д.13 строение 3,б-р,Чистопрудный ,д.13 строение 3,муниципальный округ Басманный,1900
8103987,2281050,г Москва б-р Чистопрудный д.14 строение 3,Москва,б-р Чистопрудный д.14 строение 3,б-р,Чистопрудный ,д.14 строение 3,муниципальный округ Басманный,1908
8103990,2281050,г Москва б-р Чистопрудный д.15 строение 1,Москва,б-р Чистопрудный д.15 строение 1,б-р,Чистопрудный ,д.15 строение 1,муниципальный округ Басманный,1917
8103996,2281050,г Москва б-р Чистопрудный д.15 строение 2,Москва,б-р Чистопрудный д.15 строение 2,б-р,Чистопрудный ,д.15 строение 2,муниципальный округ Басманный,1910
8104002,2281050,г Москва б-р Чистопрудный д.1А,Москва,б-р Чистопрудный д.1А,б-р,Чистопрудный ,д.1А,муниципальный округ Басманный,1917
8104009,2281050,г Москва б-р Чистопрудный д.23 строение 1,Москва,б-р Чистопрудный д.23 строение 1,б-р,Чистопрудный ,д.23 строение 1,муниципальный округ Басманный,1907
8104014,2281050,г Москва б-р Чистопрудный д.7/2,Москва,б-р Чистопрудный д.7/2,б-р,Чистопрудный ,д.7/2,муниципальный округ Басманный,1960
8104017,2281050,г Москва б-р Чистопрудный д.9 строение 1,Москва,б-р Чистопрудный д.9 строение 1,б-р,Чистопрудный ,д.9 строение 1,муниципальный округ Басманный,1917
8103747,2281050,г Москва наб Академика Туполева д.1/7 строение 2,Москва,наб Академика Туполева д.1/7 строение 2,наб,Академика Туполева ,д.1/7 строение 2,муниципальный округ Басманный,1961
7618935,2281050,г Москва наб Академика Туполева д.15,Москва,наб Академика Туполева д.15,наб,Академика Туполева ,д.15,муниципальный округ Басманный,2008
8102881,2281050,г Москва наб Рубцовская д.2 кор.1,Москва,наб Рубцовская д.2 кор.1,наб,Рубцовская ,д.2 кор.1,муниципальный округ Басманный,1999
8102883,2281050,г Москва наб Рубцовская д.2 кор.2,Москва,наб Рубцовская д.2 кор.2,наб,Рубцовская ,д.2 кор.2,муниципальный округ Басманный,1999
8102888,2281050,г Москва наб Рубцовская д.2 кор.3,Москва,наб Рубцовская д.2 кор.3,наб,Рубцовская ,д.2 кор.3,муниципальный округ Басманный,1999
8102889,2281050,г Москва наб Рубцовская д.2 кор.4,Москва,наб Рубцовская д.2 кор.4,наб,Рубцовская ,д.2 кор.4,муниципальный округ Басманный,1999
8102891,2281050,г Москва наб Рубцовская д.2 кор.5,Москва,наб Рубцовская д.2 кор.5,наб,Рубцовская ,д.2 кор.5,муниципальный округ Басманный,1999
8102892,2281050,г Москва наб Рубцовская д.4 кор.1,Москва,наб Рубцовская д.4 кор.1,наб,Рубцовская ,д.4 кор.1,муниципальный округ Басманный,2002
